run_id,node_id,attempt_count,final_resolved,resolution_path
humantime_direct_llm_1shot,ht_001,2,False,unresolved
humantime_direct_llm_1shot,ht_003,2,True,full
humantime_direct_llm_1shot,ht_005,1,False,unresolved
humantime_direct_llm_1shot,ht_007,3,True,full
humantime_direct_llm_1shot,ht_010,3,True,rule
humantime_direct_llm_1shot,ht_012,1,False,unresolved
humantime_direct_llm_1shot,ht_013,3,False,unresolved
humantime_direct_llm_1shot,ht_014,1,False,unresolved
humantime_direct_llm_1shot,ht_015,1,True,full
humantime_direct_llm_1shot,ht_020,1,True,full
humantime_direct_llm_1shot,ht_021,1,False,unresolved
humantime_direct_llm_1shot,ht_022,3,True,rule
humantime_direct_llm_1shot,ht_023,3,False,unresolved
humantime_direct_llm_1shot,ht_024,3,False,unresolved
humantime_direct_llm_1shot,ht_025,3,False,unresolved
humantime_direct_llm_1shot,ht_026,3,False,unresolved
humantime_direct_llm_1shot,ht_027,3,True,rule
humantime_direct_llm_1shot,ht_028,3,True,full
humantime_direct_llm_1shot,ht_030,3,False,unresolved
humantime_direct_llm_1shot,ht_031,3,False,unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_003,2,True,rule
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_004,1,True,rule
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_006,3,True,rule
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_007,2,True,rule
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_008,2,True,rule
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_010,3,True,rule
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_012,2,True,rule
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_013,2,True,rule
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_023,6,True,full
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_024,2,True,rule
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_025,12,True,full
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_026,12,True,full
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_027,12,True,full
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_028,12,True,full
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_030,6,False,unresolved
humantime_gemini-2.5-flash-nothinking_20251109_134926,ht_031,6,False,unresolved
humantime_rugae_base4_humantime_replay,ht_001,1,True,full
humantime_rugae_base4_humantime_replay,ht_007,2,False,unresolved
humantime_rugae_base4_humantime_replay,ht_019,2,True,rule
humantime_rugae_base4_humantime_replay,ht_021,1,True,rule
humantime_rugae_base4_humantime_replay,ht_027,1,False,unresolved
humantime_rugae_base4_humantime_replay,ht_030,2,True,full
humantime_rugae_base4_humantime_replay,ht_031,2,False,unresolved
humantime_rugae_hybrid4_humantime_replay,ht_001,1,True,full
humantime_rugae_hybrid4_humantime_replay,ht_007,2,False,unresolved
humantime_rugae_hybrid4_humantime_replay,ht_019,2,True,rule
humantime_rugae_hybrid4_humantime_replay,ht_021,1,True,rule
humantime_rugae_hybrid4_humantime_replay,ht_027,1,False,unresolved
humantime_rugae_hybrid4_humantime_replay,ht_030,2,True,full
humantime_rugae_hybrid4_humantime_replay,ht_031,2,False,unresolved
humantime_rustyunit_humantime_replay,ht_007,2,True,full
humantime_rustyunit_humantime_replay,ht_012,2,True,full
humantime_rustyunit_humantime_replay,ht_015,2,False,unresolved
humantime_rustyunit_humantime_replay,ht_016,2,False,unresolved
humantime_rustyunit_humantime_replay,ht_018,2,False,unresolved
humantime_rustyunit_humantime_replay,ht_019,1,False,unresolved
humantime_rustyunit_humantime_replay,ht_024,1,False,unresolved
humantime_rustyunit_humantime_replay,ht_026,2,False,unresolved
humantime_rustyunit_humantime_replay,ht_028,2,False,unresolved
humantime_rustyunit_humantime_replay,ht_030,2,False,unresolved
humantime_rustyunit_humantime_replay,ht_031,2,False,unresolved
humantime_rustyunit_humantime_replay,ht_032,1,False,unresolved
