run_id,node_id,attempt_count,final_resolved,resolution_path
humantime_claude-3-5-haiku-20241022_20251109_133407,<wrapper::Duration as std::convert::AsRef<std::time::Duration>>::as_ref,3,True,rule
humantime_claude-3-5-haiku-20241022_20251109_133407,<wrapper::Duration as std::convert::From<std::time::Duration>>::from,3,True,rule
humantime_claude-3-5-haiku-20241022_20251109_133407,<wrapper::Duration as std::convert::Into<std::time::Duration>>::into,6,True,full
humantime_claude-3-5-haiku-20241022_20251109_133407,<wrapper::Duration as std::ops::Deref>::deref,6,True,rule
humantime_claude-3-5-haiku-20241022_20251109_133407,<wrapper::Duration as std::str::FromStr>::from_str,3,True,rule
humantime_claude-3-5-haiku-20241022_20251109_133407,<wrapper::Timestamp as std::convert::AsRef<std::time::SystemTime>>::as_ref,3,True,rule
humantime_claude-3-5-haiku-20241022_20251109_133407,<wrapper::Timestamp as std::convert::From<std::time::SystemTime>>::from,3,True,rule
humantime_claude-3-5-haiku-20241022_20251109_133407,<wrapper::Timestamp as std::convert::Into<std::time::SystemTime>>::into,6,True,rule
humantime_claude-3-5-haiku-20241022_20251109_133407,<wrapper::Timestamp as std::ops::Deref>::deref,6,True,rule
humantime_claude-3-5-haiku-20241022_20251109_133407,<wrapper::Timestamp as std::str::FromStr>::from_str,3,True,rule
humantime_claude-3-5-haiku-20241022_20251109_133407,date::Rfc3339Timestamp::get_ref,12,True,full
humantime_claude-3-5-haiku-20241022_20251109_133407,date::two_digits::two_digits_inner,6,True,full
humantime_claude-3-5-haiku-20241022_20251109_133407,duration::FormattedDuration::get_ref,3,True,rule
humantime_claude-3-5-haiku-20241022_20251109_133407,duration::Parser::<'a>::off,12,True,full
humantime_claude-3-5-haiku-20241022_20251109_133407,duration::Parser::<'a>::parse,12,True,full
humantime_claude-3-5-haiku-20241022_20251109_133407,duration::Parser::<'a>::parse_first_char,12,True,full
humantime_claude-3-5-haiku-20241022_20251109_133407,duration::Parser::<'a>::parse_unit,12,True,full
humantime_claude-3-5-haiku-20241022_20251109_133407,duration::item,6,True,full
humantime_claude-3-5-haiku-20241022_20251109_133407,duration::item_plural,6,False,unresolved
humantime_deepseek-v3_20251109_140004,<wrapper::Duration as std::convert::From<std::time::Duration>>::from,3,True,rule
humantime_deepseek-v3_20251109_140004,<wrapper::Duration as std::str::FromStr>::from_str,3,True,rule
